Date,USD AM
2017-03-01,778.0
2017-02-28,783.0
2017-02-27,773.0
2017-02-24,779.0
2017-02-23,766.0
2017-02-22,783.0
2017-02-21,763.0
2017-02-20,775.0
2017-02-17,791.0
2017-02-16,790.0
2017-02-15,780.0
2017-02-14,778.0
2017-02-13,776.0
2017-02-10,774.0
2017-02-09,773.0
2017-02-08,770.0
2017-02-07,755.0
2017-02-06,764.0
2017-02-03,749.0
2017-02-02,759.0
2017-02-01,764.0
2017-01-31,750.0
2017-01-30,728.0
2017-01-27,713.0
2017-01-26,737.0
2017-01-25,783.0
2017-01-24,777.0
2017-01-23,786.0
2017-01-20,752.0
2017-01-19,749.0
2017-01-18,745.0
2017-01-17,751.0
2017-01-16,740.0
2017-01-13,754.0
2017-01-12,755.0
2017-01-11,761.0
2017-01-10,755.0
2017-01-09,756.0
2017-01-06,744.0
2017-01-05,730.0
2017-01-04,724.0
2017-01-03,684.0